time,mastery,performance,hollow_gap
0,0.566722403959129,0.9566722403959128,0.3899498364367838
1,0.43085767680207576,0.9430857676802077,0.5122280908781319
2,0.30254431160553724,0.9302544311605538,0.6277101195550165
3,0.19076229644618417,0.9190762296446185,0.7283139331984344
4,0.10006014038313561,0.9100060140383135,0.8099458736551779
5,0.03863307033999188,0.9038633070339993,0.8652302366940074
6,0.009741126783409604,0.900974112678341,0.8912329858949315
7,0.0017087769441932953,0.9001708776944196,0.8984621007502264
8,0.00023044206700169518,0.9000230442067004,0.8997926021396987
9,0.0,0.9,0.9
10,0.0,0.9,0.9
11,0.0,0.9,0.9
12,0.0,0.9,0.9
13,0.0,0.9,0.9
14,0.0,0.9,0.9
15,0.0,0.9,0.9
16,0.0,0.9,0.9
17,0.0,0.9,0.9
18,0.0,0.9,0.9
19,0.0,0.9,0.9
20,0.0,0.9,0.9
21,0.0,0.9,0.9
22,0.0,0.9,0.9
23,0.0,0.9,0.9
24,0.0,0.9,0.9
25,0.0,0.9,0.9
26,0.0,0.9,0.9
27,0.0,0.9,0.9
28,0.0,0.9,0.9
29,0.0,0.9,0.9
30,0.0,0.9,0.9
31,0.0,0.9,0.9
32,0.0,0.9,0.9
33,0.0,0.9,0.9
34,0.0,0.9,0.9
35,0.0,0.9,0.9
36,0.0,0.9,0.9
37,0.0,0.9,0.9
38,0.0,0.9,0.9
39,0.0,0.9,0.9
40,0.0,0.9,0.9
41,0.0,0.9,0.9
42,0.0,0.9,0.9
43,0.0,0.9,0.9
44,0.0,0.9,0.9
45,0.0,0.9,0.9
46,0.0,0.9,0.9
47,0.0,0.9,0.9
48,0.0,0.9,0.9
49,0.0,0.9,0.9
50,0.0,0.9,0.9
51,0.0,0.9,0.9
52,0.0,0.9,0.9
53,0.0,0.9,0.9
54,0.0,0.9,0.9
55,0.0,0.9,0.9
56,0.0,0.9,0.9
57,0.0,0.9,0.9
58,0.0,0.9,0.9
59,0.0,0.9,0.9
60,0.0,0.9,0.9
61,0.0,0.9,0.9
62,0.0,0.9,0.9
63,0.0,0.9,0.9
64,0.0,0.9,0.9
65,0.0,0.9,0.9
66,0.0,0.9,0.9
67,0.0,0.9,0.9
68,0.0,0.9,0.9
69,0.0,0.9,0.9
70,0.0,0.9,0.9
71,0.0,0.9,0.9
72,0.0,0.9,0.9
73,0.0,0.9,0.9
74,0.0,0.9,0.9
75,0.0,0.9,0.9
76,0.0,0.9,0.9
77,0.0,0.9,0.9
78,0.0,0.9,0.9
79,0.0,0.9,0.9
80,0.0,0.9,0.9
81,0.0,0.9,0.9
82,0.0,0.9,0.9
83,0.0,0.9,0.9
84,0.0,0.9,0.9
85,0.0,0.9,0.9
86,0.0,0.9,0.9
87,0.0,0.9,0.9
88,0.0,0.9,0.9
89,0.0,0.9,0.9
90,0.0,0.9,0.9
91,0.0,0.9,0.9
92,0.0,0.9,0.9
93,0.0,0.9,0.9
94,0.0,0.9,0.9
95,0.0,0.9,0.9
96,0.0,0.9,0.9
97,0.0,0.9,0.9
98,0.0,0.9,0.9
99,0.0,0.9,0.9
100,0.0,0.9,0.9
101,0.0,0.9,0.9
102,0.0,0.9,0.9
103,0.0,0.9,0.9
104,0.0,0.9,0.9
105,0.0,0.9,0.9
106,0.0,0.9,0.9
107,0.0,0.9,0.9
108,0.0,0.9,0.9
109,0.0,0.9,0.9
110,0.0,0.9,0.9
111,0.0,0.9,0.9
112,0.0,0.9,0.9
113,0.0,0.9,0.9
114,0.0,0.9,0.9
115,0.0,0.9,0.9
116,0.0,0.9,0.9
117,0.0,0.9,0.9
118,0.0,0.9,0.9
119,0.0,0.9,0.9
120,0.0,0.9,0.9
121,0.0,0.9,0.9
122,0.0,0.9,0.9
123,0.0,0.9,0.9
124,0.0,0.9,0.9
125,0.0,0.9,0.9
126,0.0,0.9,0.9
127,0.0,0.9,0.9
128,0.0,0.9,0.9
129,0.0,0.9,0.9
130,0.0,0.9,0.9
131,0.0,0.9,0.9
132,0.0,0.9,0.9
133,0.0,0.9,0.9
134,0.0,0.9,0.9
135,0.0,0.9,0.9
136,0.0,0.9,0.9
137,0.0,0.9,0.9
138,0.0,0.9,0.9
139,0.0,0.9,0.9
140,0.0,0.9,0.9
141,0.0,0.9,0.9
142,0.0,0.9,0.9
143,0.0,0.9,0.9
144,0.0,0.9,0.9
145,0.0,0.9,0.9
146,0.0,0.9,0.9
147,0.0,0.9,0.9
148,0.0,0.9,0.9
149,0.0,0.9,0.9
150,0.0,0.9,0.9
151,0.0,0.9,0.9
152,0.0,0.9,0.9
153,0.0,0.9,0.9
154,0.0,0.9,0.9
155,0.0,0.9,0.9
156,0.0,0.9,0.9
157,0.0,0.9,0.9
158,0.0,0.9,0.9
159,0.0,0.9,0.9
160,0.0,0.9,0.9
161,0.0,0.9,0.9
162,0.0,0.9,0.9
163,0.0,0.9,0.9
164,0.0,0.9,0.9
165,0.0,0.9,0.9
166,0.0,0.9,0.9
167,0.0,0.9,0.9
168,0.0,0.9,0.9
169,0.0,0.9,0.9
170,0.0,0.9,0.9
171,0.0,0.9,0.9
172,0.0,0.9,0.9
173,0.0,0.9,0.9
174,0.0,0.9,0.9
175,0.0,0.9,0.9
176,0.0,0.9,0.9
177,0.0,0.9,0.9
178,0.0,0.9,0.9
179,0.0,0.9,0.9
180,0.0,0.9,0.9
181,0.0,0.9,0.9
182,0.0,0.9,0.9
183,0.0,0.9,0.9
184,0.0,0.9,0.9
185,0.0,0.9,0.9
186,0.0,0.9,0.9
187,0.0,0.9,0.9
188,0.0,0.9,0.9
189,0.0,0.9,0.9
190,0.0,0.9,0.9
191,0.0,0.9,0.9
192,0.0,0.9,0.9
193,0.0,0.9,0.9
194,0.0,0.9,0.9
195,0.0,0.9,0.9
196,0.0,0.9,0.9
197,0.0,0.9,0.9
198,0.0,0.9,0.9
199,0.0,0.9,0.9
200,0.0,0.9,0.9
201,0.0,0.9,0.9
202,0.0,0.9,0.9
203,0.0,0.9,0.9
204,0.0,0.9,0.9
205,0.0,0.9,0.9
206,0.0,0.9,0.9
207,0.0,0.9,0.9
208,0.0,0.9,0.9
209,0.0,0.9,0.9
210,0.0,0.9,0.9
211,0.0,0.9,0.9
212,0.0,0.9,0.9
213,0.0,0.9,0.9
214,0.0,0.9,0.9
215,0.0,0.9,0.9
216,0.0,0.9,0.9
217,0.0,0.9,0.9
218,0.0,0.9,0.9
219,0.0,0.9,0.9
